name,latitude,longitude,Ranking 2022
Mayflower Primary School,1.376146217,103.8358052,142
Mee Toh School,1.394618454,103.9085895,49
Meridian Primary School,1.375528317,103.9348891,114
Methodist Girls' School (Primary),1.349472763,103.8849713,1
Montfort Junior School,1.373824441,103.8893078,93
Nan Chiau Primary School,1.392211499,103.8911809,22
Nan Hua Primary School,1.3192016,103.7610951,6
Nanyang Primary School,1.320847499,103.8077502,16
Ngee Ann Primary School,1.305525059,103.917463,105
Naval Base Primary School,1.416306632,103.8387941,82
New Town Primary School,1.299641882,103.8001022,181
Northland Primary School,1.420969899,103.8409284,30
Northoaks Primary School,1.45660782,103.814197,176
North Spring Primary School,1.387061465,103.9032027,170
North View Primary School,1.427523272,103.8481908,130
North Vista Primary School,1.38282243,103.8959619,104
Oasis Primary School,1.404624132,103.9111206,50
Opera Estate Primary School,1.319319144,103.9237883,139
Palm View Primary School,1.38376923,103.8913547,144
Park View Primary School,1.377380699,103.9395417,132
Pasir Ris Primary School,1.365557147,103.9609189,34
Paya Lebar Methodist Girls' School (Primary),1.349472763,103.8849713,38
Pei Chun Public School,1.337373587,103.8555856,18
Pei Hwa Presbyterian Primary School,1.338056346,103.7761064,4
Pei Tong Primary School,1.316197864,103.7675998,128
Peiying Primary School,1.417233397,103.8304171,112
Pioneer Primary School,1.339022647,103.6877696,182
Poi Ching School,1.357651223,103.9352465,65
Princess Elizabeth Primary School,1.349203513,103.7410196,66
Punggol Cove Primary School,1.411599233,103.8988039,79
Punggol Green Primary School,1.401872206,103.8988013,37
Punggol Primary School,1.405145826,103.9051564,80
Punggol View Primary School,1.405145826,103.9051564,54
Qifa Primary School,1.313265833,103.7566291,72
Qihua Primary School,1.442035966,103.7883398,122
Queenstown Primary School,1.29559365,103.8075486,131
Radin Mas Primary School,1.274958236,103.8241883,40
Raffles Girls' Primary School,1.32940426,103.8064429,47
Red Swastika School,1.334056596,103.9343175,27
Riverside Primary School,1.447004265,103.801889,60
River Valley Primary School,1.294223285,103.8358152,45
Rivervale Primary School,1.387061465,103.9032027,88
Rosyth School,1.372890675,103.8750015,20
Rulang Primary School,1.346738689,103.718458,28
Sengkang Green Primary School,1.392846067,103.8752177,35
Sembawang Primary School,1.445073716,103.8210424,137
Si Ling Primary School,1.432409357,103.7860351,145
Seng Kang Primary School,1.389497404,103.8997671,171
Shuqun Primary School,1.347653114,103.7215237,70
Singapore Chinese Girls' School (Primary),1.320807252,103.8277447,15
South View Primary School,1.381666644,103.7462758,17
Springdale Primary School,1.394670103,103.8899262,102
St. Andrew's Junior School,1.331058249,103.8653423,52
St. Anthony's Canossian Primary School,1.334761991,103.941705,135
St. Anthony's Primary School,1.364113431,103.7489805,41
St. Gabriel's Primary School,1.349588152,103.8626511,61
St. Hilda's Primary School,1.349609218,103.9361045,9
St. Joseph's Institution Junior,1.317318595,103.845523,13
St. Margaret's Primary School,1.325000943,103.8816751,74
St. Stephen's School,1.318775669,103.9175578,89
Tampines North Primary School,1.360476415,103.9487258,157
Tampines Primary School,1.350707392,103.9513995,68
Tanjong Katong Primary School,1.305240843,103.9000927,64
Tao Nan School,1.294332105,103.8490262,3
Teck Ghee Primary School,1.365587821,103.8509571,109
Teck Whye Primary School,1.383649968,103.7532919,154
Telok Kurau Primary School,1.331045854,103.910934,103
Temasek Primary School,1.317706776,103.9455907,36
Townsville Primary School,1.360032637,103.853826,140
Unity Primary School,1.402854819,103.7468226,147
Valour Primary School,1.406835702,103.8990781,73
Waterway Primary School,1.398828006,103.9186216,69
Wellington Primary School,1.451920192,103.8223037,55
West Grove Primary School,1.344879056,103.6992864,113
West Spring Primary School,1.389441459,103.7661957,56
Westwood Primary School,1.347184566,103.7005342,33
West View Primary School,1.38367582,103.7602404,92
White Sands Primary School,1.365557147,103.9609189,85
Woodgrove Primary School,1.432736207,103.7902303,83
Woodlands Primary School,1.432736207,103.7902303,71
Woodlands Ring Primary School,1.434952293,103.7974357,125
Xinghua Primary School,1.357908936,103.8904729,172
Xingnan Primary School,1.342547449,103.6879503,133
Xinmin Primary School,1.371395489,103.8830808,31
Xishan Primary School,1.433471869,103.8377553,136
Yangzheng Primary School,1.348645758,103.8685955,59
Yew Tee Primary School,1.396766009,103.750986,164
Yio Chu Kang Primary School,1.377932643,103.8856437,178
Yishun Primary School,1.427688477,103.8304255,118
Yu Neng Primary School,1.333889303,103.9321449,46
Yuhua Primary School,1.342802305,103.7411058,152
Yumin Primary School,1.351291777,103.9504619,167
Zhangde Primary School,1.284211533,103.8259519,121
Zhenghua Primary School,1.379548875,103.7693135,87
Zhonghua Primary School,1.360203297,103.8697624,148
