rent_approval_date,town,block,street_name,flat_type,predicted_monthly_rent
2021-03,toa payoh,79d,toa payoh central,3,2525.264404296875
2021-05,ang mo kio,181,Ang Mo Kio Avenue 5,2,1948.5731201171875
2021-10,woodlands,557,Woodlands Drive 53,4,2195.674560546875
2021-03,woodlands,635,Woodlands Ring Road,5,2263.135009765625
2022-04,woodlands,891a,Woodlands Drive 50,4,2201.912109375
2023-05,jurong west,610,jurong west street 65,4,3232.79345703125
2021-07,jurong west,826,jurong west street 81,3,2204.87158203125
2022-04,ang mo kio,329,Ang Mo Kio Avenue 3,3,2398.12939453125
2021-12,woodlands,517,woodlands drive 14,4,2243.107177734375
2022-03,kallang/whampoa,40,Cambridge Road,4,2584.49365234375
2021-07,ang mo kio,130,ang mo kio avenue 3,2,2138.1494140625
2023-04,punggol,289d,punggol place,3,3891.1162109375
2022-02,woodlands,662,woodlands ring road,4,2748.90625
2021-01,bukit merah,126,Bukit Merah View,4,2978.7548828125
2021-08,punggol,665c,punggol drive,3,2247.878173828125
2022-08,ang mo kio,636,ang mo kio avenue 6,3,3119.094970703125
2022-06,jurong east,288b,jurong east street 21,4,3393.397216796875
2022-10,punggol,161b,Punggol Central,4,2955.6494140625
2021-09,tampines,498l,tampines street 45,4,2153.590576171875
2021-06,bedok,423,bedok north avenue 1,2,1806.88671875
2023-02,yishun,641,yishun street 61,3,2242.27392578125
2022-11,sengkang,292b,Compassvale Street,4,3562.974365234375
2022-05,bukit batok,230,bukit batok east avenue 3,2,2121.24755859375
2021-01,hougang,314,Hougang Avenue 5,3,2118.256103515625
2022-11,bedok,804,chai chee road,4,3375.57763671875
2021-06,ang mo kio,606,Ang Mo Kio Avenue 5,2,1907.973388671875
2022-12,jurong west,756,Jurong West Street 74,4,4158.5400390625
2022-04,bukit panjang,276,bangkit road,4,2971.981201171875
2021-02,yishun,233,yishun street 21,2,1860.42333984375
2022-09,jurong west,755,Jurong West Street 74,3,2582.7939453125
2023-02,toa payoh,177,toa payoh central,2,2737.383056640625
2022-07,tampines,432,tampines street 41,4,3040.658447265625
2022-06,kallang/whampoa,3c,Upper Boon Keng Road,3,2481.705322265625
2022-03,yishun,794,yishun ring road,4,2986.073974609375
2021-12,choa chu kang,758,Choa Chu Kang North 5,5,2671.70703125
2021-05,yishun,615,Yishun Ring Road,3,2290.580810546875
2021-05,geylang,32,Cassia Crescent,2,1967.4268798828125
2023-05,yishun,232,yishun street 21,4,3002.30615234375
2023-07,jurong east,257,jurong east street 24,2,2333.206298828125
2022-11,bukit merah,25b,Jalan Membina,3,4542.02197265625
2021-05,geylang,125,geylang east avenue 1,3,2456.8681640625
2021-10,bukit merah,59,Telok Blangah Hts,3,2915.320556640625
2023-01,woodlands,688a,woodlands drive 75,4,3183.617431640625
2021-09,choa chu kang,685c,Choa Chu Kang Crescent,3,2078.460693359375
2023-01,queenstown,13,holland drive,4,3273.193115234375
2021-08,woodlands,624b,woodlands drive 52,4,2196.807373046875
2022-10,sengkang,264b,compassvale bow,3,3730.117919921875
2023-02,queenstown,109,Commonwealth Crescent,2,2992.181396484375
2022-09,jurong west,359,Yung An Road,3,2365.154296875
2021-04,bukit panjang,229,pending road,2,1772.1055908203125
2022-03,jurong west,648a,Jurong West Street 61,3,2217.24609375
2021-11,pasir ris,273,pasir ris street 21,4,2254.3203125
2022-03,woodlands,540,Woodlands Drive 16,3,2040.1171875
2022-04,kallang/whampoa,84,whampoa drive,3,2588.979248046875
2022-01,jurong west,208,boon lay place,2,1887.0042724609375
2022-06,clementi,604,clementi west street 1,4,2737.8681640625
2022-01,queenstown,18a,holland drive,3,3344.747802734375
2022-06,jurong east,301,jurong east street 32,3,2445.5625
2022-11,woodlands,690f,Woodlands Drive 75,4,3087.8056640625
2023-06,sengkang,157a,Rivervale Crescent,4,3716.0888671875
2021-04,jurong west,681b,jurong west central 1,4,2552.81982421875
2021-05,jurong west,860,jurong west street 81,5,2194.831787109375
2021-08,toa payoh,208,toa payoh north,3,2415.016845703125
2021-12,bukit batok,360,Bukit Batok Street 31,2,1993.7039794921875
2021-12,bukit batok,241,bukit batok east avenue 5,2,1802.16357421875
2021-06,bishan,307,Shunfu Road,2,2025.450927734375
2021-08,geylang,63,Sims Place,2,2119.352783203125
2021-02,woodlands,886b,woodlands drive 50,2,1985.6341552734375
2023-02,ang mo kio,204,ang mo kio avenue 3,3,3394.375
2021-04,pasir ris,547,Pasir Ris Street 51,5,2336.05810546875
2021-10,choa chu kang,792,Choa Chu Kang North 6,4,2337.591552734375
2022-03,punggol,185,Edgefield Plains,4,2601.854248046875
2022-09,bedok,606,bedok reservoir road,2,2077.956298828125
2021-11,bukit batok,129,bukit batok west avenue 6,3,2206.025146484375
2022-01,kallang/whampoa,40,Cambridge Road,4,2640.27099609375
2022-09,hougang,172,hougang avenue 1,3,2756.90380859375
2023-03,woodlands,303,woodlands street 31,5,3550.989501953125
2022-08,choa chu kang,808d,Choa Chu Kang Avenue 1,4,3360.651123046875
2021-12,bukit merah,16,taman ho swee,2,1926.073974609375
2022-11,bedok,27,New Upper Changi Road,2,2871.2724609375
2021-10,serangoon,402,Serangoon Avenue 1,4,2853.733154296875
2021-10,sengkang,194,rivervale drive,4,1918.7899169921875
2021-08,tampines,892a,tampines avenue 8,5,2511.12744140625
2022-01,bedok,103,bedok north avenue 4,2,2009.980712890625
2021-07,jurong west,675b,jurong west street 64,4,2455.25634765625
2021-11,jurong west,632,jurong west street 65,4,2079.514892578125
2023-04,jurong east,211,jurong east street 21,2,3132.95263671875
2021-06,sembawang,327,sembawang crescent,3,2121.447021484375
2023-04,woodlands,687c,Woodlands Drive 75,4,3674.49609375
2023-07,geylang,14,eunos crescent,4,3720.391357421875
2023-01,bukit batok,289e,Bukit Batok Street 25,3,2626.24462890625
2021-08,bukit panjang,182,jelebu road,4,2630.414306640625
2022-04,choa chu kang,666,choa chu kang crescent,4,2518.14013671875
2023-03,choa chu kang,487b,Choa Chu Kang Avenue 5,3,3063.56494140625
2022-03,serangoon,201,serangoon central,2,2212.37744140625
2022-07,punggol,641c,Punggol Drive,3,3186.87158203125
2022-06,yishun,107,Yishun Ring Road,3,2018.2293701171875
2021-01,yishun,617,Yishun Ring Road,2,1826.6824951171875
2021-10,woodlands,403,woodlands street 41,4,1947.0352783203125
2022-06,bedok,41,chai chee street,3,2549.31787109375
2022-09,choa chu kang,785,Choa Chu Kang Drive,4,3723.21533203125
2021-07,yishun,440,yishun avenue 11,3,1839.75927734375
2021-11,hougang,988a,buangkok green,3,2049.887451171875
2022-05,woodlands,794,Woodlands Drive 72,4,2903.106689453125
2022-10,pasir ris,189,Pasir Ris Street 12,4,3621.53515625
2021-06,hougang,838,hougang central,4,2624.76708984375
2021-07,clementi,430,clementi avenue 3,2,2364.44287109375
2021-03,tampines,706,Tampines Street 71,3,2284.94580078125
2022-02,serangoon,114,serangoon north avenue 1,3,2360.982421875
2022-10,bukit panjang,179,lompang road,4,3281.1025390625
2021-03,choa chu kang,449,choa chu kang avenue 4,4,1977.287109375
2021-03,bukit batok,221,bukit batok east avenue 3,5,2463.401611328125
2021-12,punggol,109a,edgedale plains,4,1726.170166015625
2023-06,tampines,856,Tampines Street 82,3,3223.36279296875
2021-03,woodlands,428,woodlands street 41,3,2235.635498046875
2022-03,toa payoh,19,joo seng road,4,2463.57080078125
2021-08,toa payoh,128,lorong 1 toa payoh,2,2172.781494140625
2023-03,choa chu kang,689b,choa chu kang drive,3,3467.959716796875
2022-05,bukit merah,4b,boon tiong road,3,2926.857177734375
2022-02,bedok,519,bedok north avenue 1,2,1852.449951171875
2023-02,yishun,746,yishun street 72,2,1901.5621337890625
2021-09,sembawang,359a,admiralty drive,3,1978.5078125
2022-05,bukit panjang,181,jelebu road,3,2896.40625
2023-06,bishan,184,bishan street 13,2,3416.510498046875
2021-07,jurong east,287d,jurong east street 21,5,2584.096923828125
2022-11,punggol,106a,punggol field,3,2237.013671875
2022-12,jurong west,623,jurong west street 61,4,3690.029296875
2021-12,bishan,189,bishan street 13,2,2021.7579345703125
2023-01,jurong west,693,jurong west central 1,4,3469.1279296875
2023-03,kallang/whampoa,27,Jalan Bahagia,2,2900.146240234375
2022-06,woodlands,531,Woodlands Drive 14,4,2566.06494140625
2021-01,sengkang,439b,Sengkang West Avenue,3,2092.03662109375
2021-07,marine parade,14,marine terrace,4,2571.043212890625
2022-10,bukit batok,259,Bukit Batok East Avenue 4,3,3012.89111328125
2021-02,bukit batok,182,bukit batok west avenue 8,2,1718.5234375
2022-02,yishun,642,Yishun Street 61,3,2298.64599609375
2021-11,jurong west,933,jurong west street 91,4,2325.50439453125
2021-06,marine parade,33,marine crescent,2,1838.824462890625
2021-04,bishan,114,bishan street 12,3,2744.24755859375
2022-09,woodlands,344,woodlands street 32,4,2601.84716796875
2023-02,geylang,10,haig road,2,2528.1708984375
2021-01,hougang,707,Hougang Avenue 2,4,2361.8564453125
2023-01,bedok,219a,bedok central,2,2547.734130859375
2023-02,toa payoh,142,Lorong 2 Toa Payoh,3,3645.463134765625
2023-03,jurong west,695,jurong west central 1,3,3713.838623046875
2022-05,woodlands,543,woodlands drive 16,3,2400.178466796875
2023-03,woodlands,896a,Woodlands Drive 50,4,2701.2490234375
2023-04,bedok,401,bedok north avenue 3,2,2783.222412109375
2022-11,bishan,407,sin ming avenue,2,2540.15478515625
2022-04,woodlands,682a,Woodlands Drive 62,4,2279.6455078125
2021-04,bukit merah,31,Telok Blangah Rise,2,2183.2861328125
2023-04,yishun,328,Yishun Ring Road,5,4137.41259765625
2022-09,jurong west,528,Jurong West Street 52,3,2630.02734375
2022-12,jurong west,186,Boon Lay Avenue,2,2388.092041015625
2021-08,sengkang,411a,fernvale road,3,2245.82275390625
2023-03,ang mo kio,635,Ang Mo Kio Avenue 6,3,2988.75048828125
2021-06,bukit batok,169,Bukit Batok West Avenue 8,2,1853.7177734375
2023-01,ang mo kio,230,ang mo kio avenue 3,2,3046.445556640625
2023-02,ang mo kio,564,Ang Mo Kio Avenue 3,2,3061.270751953125
2022-02,kallang/whampoa,3c,Upper Boon Keng Road,3,2597.453369140625
2021-08,bedok,182,Bedok North Road,3,2411.584716796875
2023-03,sengkang,432a,sengkang west way,2,2079.3173828125
2022-05,bishan,104,Bishan Street 12,2,2107.6103515625
2023-06,bukit merah,20,jalan membina,4,4606.57275390625
2022-11,sengkang,324b,Sengkang East Way,3,3380.1455078125
2023-03,sengkang,117c,rivervale drive,4,3746.402099609375
2023-07,jurong west,653a,jurong west street 61,4,4287.8291015625
2021-12,tampines,242,tampines street 21,2,1880.5487060546875
2022-02,bukit batok,148,bukit batok west avenue 6,3,2231.974853515625
2021-02,marine parade,27,marine crescent,4,2733.74658203125
2022-06,bedok,219b,Bedok Central,3,2696.38427734375
2023-06,ang mo kio,506,Ang Mo Kio Avenue 8,2,2289.93701171875
2022-05,kallang/whampoa,463,crawford lane,2,2522.802490234375
2021-05,geylang,35,circuit road,2,1864.3900146484375
2021-10,woodlands,634,woodlands ring road,4,2317.131591796875
2021-12,tampines,807,tampines avenue 4,2,1948.093505859375
2021-05,bishan,116,Bishan Street 12,2,2048.8291015625
2023-01,hougang,557,Hougang Street 51,3,2982.9423828125
2023-02,marine parade,35,marine crescent,2,2735.529052734375
2021-11,yishun,638,yishun street 61,3,2315.9716796875
2023-01,punggol,126c,edgedale plains,3,2528.74267578125
2023-07,sembawang,359a,Admiralty Drive,5,3366.1142578125
2021-03,bukit batok,142,bukit batok street 11,5,2554.790771484375
2023-01,tampines,350,tampines street 33,3,2661.96630859375
2023-03,yishun,147,yishun street 11,2,2505.514404296875
2021-02,bishan,138,bishan street 12,3,2277.77001953125
2021-05,hougang,165,Hougang Avenue 1,3,2012.7401123046875
2021-02,clementi,518,West Coast Road,2,1917.1392822265625
2023-04,woodlands,672,woodlands drive 71,4,3336.013671875
2023-05,sengkang,291c,Compassvale Street,5,3446.505615234375
2022-01,queenstown,30,Holland Close,4,3123.869384765625
2022-07,bukit merah,143,jalan bukit merah,4,2760.537109375
2021-04,yishun,816,yishun street 81,4,2278.966552734375
2022-11,bukit merah,109,jalan bukit merah,3,3673.9541015625
2021-09,tampines,271,tampines street 21,2,1924.0238037109375
2021-06,punggol,112,Edgefield Plains,5,2422.904052734375
2022-04,woodlands,621,woodlands drive 52,4,2936.561767578125
2022-01,bishan,131,Bishan Street 12,3,2501.14697265625
2021-02,sengkang,224d,compassvale walk,4,1742.0963134765625
2022-02,woodlands,689b,Woodlands Drive 75,4,2839.576904296875
2021-12,tampines,926,Tampines Street 91,3,2565.1552734375
2021-04,bishan,302,shunfu road,2,2029.830322265625
2022-11,toa payoh,142,potong pasir avenue 3,2,2841.154541015625
2021-10,woodlands,891a,Woodlands Drive 50,3,1901.103515625
2023-01,toa payoh,36,lorong 5 toa payoh,3,3152.87646484375
2021-12,toa payoh,79b,toa payoh central,3,2808.27734375
2021-09,ang mo kio,211,Ang Mo Kio Avenue 3,2,1774.2471923828125
2022-07,toa payoh,84b,lorong 2 toa payoh,4,3795.436767578125
2022-12,bedok,128,bedok north street 2,2,2813.72265625
2022-11,sengkang,410a,fernvale road,3,2815.1875
2022-05,bukit batok,422,Bukit Batok West Avenue 2,2,2236.33056640625
2022-05,hougang,575,hougang street 51,4,2472.545654296875
2023-06,toa payoh,35,lorong 5 toa payoh,4,3279.55712890625
2021-04,sengkang,290a,compassvale crescent,4,2116.74755859375
2022-07,choa chu kang,529,Choa Chu Kang Street 51,5,2905.721923828125
2021-10,jurong west,815,jurong west street 81,3,2254.69580078125
2021-07,clementi,705,clementi west street 2,2,2016.8126220703125
2021-05,pasir ris,717,Pasir Ris Street 72,5,2485.67626953125
2021-05,punggol,175b,punggol field,3,2017.5482177734375
2021-04,bukit merah,84,Telok Blangah Hts,4,2812.04736328125
2023-04,jurong west,678a,Jurong West Street 64,4,3115.43896484375
2021-03,sembawang,420,Canberra Road,3,2165.07470703125
2023-05,bukit panjang,104,gangsa road,2,2908.263671875
2022-10,queenstown,18c,Holland Drive,4,4614.35302734375
2022-12,clementi,336,clementi avenue 2,4,3699.107666015625
2021-12,ang mo kio,458,ang mo kio avenue 10,4,2666.33740234375
2022-03,jurong west,661d,jurong west street 64,4,2245.51806640625
2023-07,ang mo kio,646,ang mo kio avenue 6,2,3104.700439453125
2022-09,yishun,635,yishun street 61,3,2857.154296875
2023-06,central,1c,cantonment road,4,4585.36181640625
2022-12,bukit panjang,227,Pending Road,3,2969.30615234375
2023-06,serangoon,506b,serangoon north avenue 4,5,3681.39111328125
2021-05,bukit merah,2c,Boon Tiong Road,4,3261.935546875
2023-03,kallang/whampoa,16,jalan tenteram,3,3739.168701171875
2023-03,geylang,33,Eunos Crescent,3,3772.451171875
2021-06,clementi,457,clementi avenue 3,3,2769.503173828125
2022-03,pasir ris,222,Pasir Ris Street 21,5,3006.206298828125
2022-08,bedok,708,bedok north road,3,2871.217529296875
2023-02,bukit panjang,248,bangkit road,3,2774.80126953125
2022-08,bedok,23,bedok sth avenue 1,2,2503.464599609375
2023-04,bukit batok,207,bukit batok street 21,2,2254.13427734375
2021-12,pasir ris,737,Pasir Ris Drive 10,3,2261.221435546875
2021-06,jurong west,701,jurong west street 71,5,2531.1943359375
2022-07,toa payoh,119,lorong 1 toa payoh,2,2278.50244140625
2022-09,bedok,34,Chai Chee Avenue,4,3366.983642578125
2023-02,yishun,135,yishun street 11,2,2177.846435546875
2021-11,ang mo kio,110,Ang Mo Kio Avenue 4,2,1886.83935546875
2021-06,punggol,664a,punggol drive,2,1832.238037109375
2021-02,choa chu kang,684a,Choa Chu Kang Crescent,4,2167.8818359375
2022-08,yishun,731,yishun street 72,2,2357.59765625
2021-01,toa payoh,154,lorong 2 toa payoh,3,2706.211181640625
2021-11,queenstown,160,Mei Ling Street,2,2342.2421875
2021-03,sengkang,435c,Fernvale Road,3,2183.0673828125
2022-07,toa payoh,116,Lorong 2 Toa Payoh,2,2338.077880859375
2022-12,kallang/whampoa,78,Lorong Limau,3,3911.869384765625
2023-02,choa chu kang,213,Choa Chu Kang Central,3,3311.39892578125
2022-10,yishun,801,Yishun Ring Road,2,2175.483154296875
2021-05,queenstown,161,Mei Ling Street,2,2030.6029052734375
2023-02,toa payoh,85a,lorong 4 toa payoh,2,2691.864990234375
2021-11,queenstown,61b,strathmore avenue,2,2396.077392578125
2022-08,serangoon,323,Serangoon Avenue 3,2,2487.455078125
2023-03,queenstown,90,tanglin halt road,3,3961.982421875
2023-03,jurong west,657a,Jurong West Street 65,3,3443.0576171875
2021-04,ang mo kio,212,Ang Mo Kio Avenue 3,3,1784.1319580078125
2023-04,tampines,498f,tampines street 45,5,3101.25927734375
2023-01,bishan,293,Bishan Street 22,3,2857.841064453125
2021-06,hougang,674,hougang avenue 8,2,1721.0728759765625
2022-04,sengkang,120b,rivervale drive,3,2564.052978515625
2021-12,bukit panjang,655,senja road,4,2165.502197265625
2023-06,tampines,210,Tampines Street 23,4,3355.974609375
2022-09,hougang,602,hougang avenue 4,3,3046.08251953125
2022-02,bukit panjang,184,jelebu road,4,2541.79345703125
2022-12,choa chu kang,156,jalan teck whye,4,2703.099365234375
2023-03,choa chu kang,763,Choa Chu Kang North 5,4,3420.9677734375
2022-02,ang mo kio,461,ang mo kio avenue 10,2,1826.472412109375
2021-11,sengkang,200b,sengkang east road,3,2271.4970703125
2023-02,serangoon,242,serangoon avenue 3,3,3093.796142578125
2023-07,bukit merah,75c,Redhill Road,3,4484.27001953125
2023-01,yishun,430b,yishun avenue 11,3,2579.65185546875
2021-01,bedok,44,chai chee street,2,1776.9404296875
2023-04,toa payoh,82b,lorong 4 toa payoh,4,3759.752197265625
2023-04,choa chu kang,540,choa chu kang street 52,4,2719.10546875
2022-08,bukit batok,289d,Bukit Batok Street 25,4,2854.907470703125
2022-12,geylang,52,sims place,2,2744.09423828125
2022-02,ang mo kio,129,ang mo kio avenue 3,2,2177.62060546875
2021-12,punggol,308b,punggol walk,2,2412.23583984375
2021-04,hougang,830,hougang central,3,2366.812255859375
2022-07,yishun,236,Yishun Ring Road,2,2278.887451171875
2022-11,serangoon,203,Serangoon Central,2,2624.739990234375
2021-01,hougang,971,hougang street 91,4,2039.8516845703125
2022-02,hougang,424,hougang avenue 6,3,2273.69970703125
2021-02,bukit panjang,126,Pending Road,2,1786.3487548828125
2022-01,sengkang,230,compassvale walk,4,2296.490234375
2022-01,kallang/whampoa,38d,bendemeer road,3,3171.902099609375
2023-03,woodlands,632,woodlands ring road,3,3101.1923828125
2021-07,geylang,20,eunos crescent,2,2067.8203125
2021-08,jurong west,480,Jurong West Street 41,2,1966.3463134765625
2021-02,toa payoh,79a,Toa Payoh Central,4,2905.830810546875
2021-07,jurong east,110,jurong east street 13,2,1869.6026611328125
2021-11,pasir ris,607,elias road,5,2481.656005859375
2022-11,geylang,101,Aljunied Crescent,3,3277.01171875
2021-05,choa chu kang,548,choa chu kang street 52,4,2015.0198974609375
2022-05,sengkang,201d,Compassvale Drive,4,2141.881591796875
2022-05,marine parade,54,Marine Terrace,3,2741.499267578125
2021-04,tampines,254,tampines street 21,3,2100.517822265625
2021-07,bukit panjang,455,segar road,3,2065.26611328125
2021-06,bedok,502,Bedok North Street 3,2,1911.7137451171875
2023-07,ang mo kio,170,ang mo kio avenue 4,2,2056.476806640625
2021-05,yishun,161,yishun street 11,4,2123.6875
2021-09,bukit merah,23,jalan membina,4,3056.243896484375
2022-03,bedok,27,New Upper Changi Road,2,2006.4190673828125
2022-02,queenstown,51,Strathmore Avenue,3,2807.642333984375
2021-04,yishun,115a,yishun ring road,3,1965.07373046875
2022-02,bukit merah,136,Jalan Bukit Merah,2,2411.135009765625
2023-02,sembawang,418,Canberra Road,3,2943.947509765625
2022-06,bedok,506,Bedok North Avenue 3,4,2723.8818359375
2021-07,woodlands,666,Woodlands Ring Road,3,2255.710205078125
2021-07,hougang,112,Hougang Avenue 1,2,1892.5948486328125
2023-03,bukit batok,339,Bukit Batok Street 34,2,2766.3603515625
2023-01,bedok,183,bedok north road,3,2986.161865234375
2021-12,bukit batok,536,Bukit Batok Street 52,3,2529.77783203125
2021-04,sengkang,248,compassvale road,3,1985.754638671875
2022-04,bukit batok,132,bukit batok west avenue 6,2,1953.5955810546875
2021-08,punggol,110d,punggol field,4,2079.704833984375
2021-12,bukit batok,212,Bukit Batok Street 21,3,2313.10009765625
2021-10,serangoon,109,serangoon north avenue 1,3,2256.58251953125
2022-12,bedok,21,bedok sth road,4,3418.109375
2022-12,yishun,721,yishun street 71,3,3268.59375
2021-04,hougang,987c,buangkok green,3,1910.4114990234375
2022-12,bukit merah,112,Bukit Purmei Road,3,3977.26025390625
2021-12,jurong west,271a,jurong west street 24,4,2701.424560546875
2022-05,woodlands,542,woodlands drive 16,4,2346.724365234375
2021-01,jurong east,216,jurong east street 21,5,2395.591796875
2023-04,bukit batok,106,Bukit Batok Central,3,3169.77685546875
2022-01,jurong west,186,Boon Lay Avenue,2,1974.009033203125
2021-06,ang mo kio,544,ang mo kio avenue 10,3,2365.0791015625
2022-11,sengkang,119b,rivervale drive,5,3783.50390625
2023-07,woodlands,573c,woodlands drive 16,3,3423.169677734375
2021-07,pasir ris,632,Pasir Ris Drive 3,3,2324.6494140625
2021-01,yishun,741,yishun avenue 5,2,1854.4556884765625
2022-03,jurong west,667c,jurong west street 65,4,3261.18310546875
2021-01,central,28,Kelantan Road,2,2194.9033203125
2022-12,woodlands,316,Woodlands Street 31,3,2813.50244140625
2022-06,hougang,110,hougang avenue 1,2,1974.806884765625
2022-06,jurong west,653a,jurong west street 61,4,2916.537353515625
2022-08,jurong west,185,boon lay avenue,2,2016.98779296875
2023-05,tampines,875,tampines street 84,2,2490.22412109375
2023-06,punggol,166a,punggol central,4,3818.658935546875
2021-01,bedok,23,bedok sth avenue 1,2,1952.052978515625
2023-02,jurong east,321,jurong east street 31,2,2462.657470703125
2021-07,ang mo kio,120,ang mo kio avenue 3,2,2026.0638427734375
2021-12,choa chu kang,418,Choa Chu Kang Avenue 4,3,2243.971435546875
2021-11,bedok,139,Bedok Reservoir Road,2,2030.2564697265625
2021-08,serangoon,330,serangoon avenue 3,3,2755.67626953125
2022-06,jurong west,606,Jurong West Street 65,3,2492.474853515625
2021-12,hougang,539,hougang street 52,5,2720.985595703125
2022-06,punggol,204d,punggol field,4,3148.372802734375
2022-03,queenstown,89,Dawson Road,3,2736.068603515625
2021-01,tampines,417,tampines street 41,2,1825.7630615234375
2022-07,tampines,815,tampines avenue 4,4,2634.56494140625
2022-01,clementi,703,west coast road,2,2161.90966796875
2021-06,queenstown,168,stirling road,2,1926.742431640625
2021-09,jurong east,210,jurong east street 21,2,2005.7159423828125
2021-08,kallang/whampoa,50,Dorset Road,2,2240.5712890625
2021-11,tampines,408,tampines street 41,4,2611.51806640625
2023-04,punggol,107a,edgefield plains,4,3361.439208984375
2022-08,bishan,307,shunfu road,2,2771.20751953125
2021-05,jurong west,735,jurong west street 75,3,2451.625
