flat_type,floor_area_sqm,lease_commence_date,latitude,longitude,monthly_rent,year,month,resale_price_index,average_school_rank
3,92.0,1985,1.32968233,103.885408,2100,2021,12,155.7,82.28571428571429
3,91.0,1984,1.321059963,103.7624347,2750,2022,5,163.9,75.25
5,146.0,1996,1.382647229,103.9375567,3350,2023,5,176.2,120.85714285714286
3,92.0,1978,1.275583428,103.810314,2850,2021,10,155.7,108.375
2,73.0,1979,1.367999888,103.8518739,2100,2021,5,146.4,108.625
3,84.0,1974,1.331590056,103.8512951,2300,2021,8,150.6,90.875
2,67.0,2015,1.378930838,103.9009883,2050,2021,6,146.4,86.11111111111111
3,90.0,2004,1.442165494,103.8080407,3800,2022,12,171.9,109.63636363636364
2,67.0,1978,1.319350264,103.9436324,3000,2022,11,171.9,96.45454545454545
3,100.0,1997,1.356984507,103.9353345,3150,2022,10,171.9,97.83333333333333
2,64.0,1986,1.357828983,103.9457929,1850,2021,2,142.2,97.83333333333333
4,120.0,1998,1.376128884,103.8828949,2500,2022,4,163.9,86.11111111111111
2,73.0,1979,1.369122417,103.8516161,2200,2021,5,146.4,108.625
4,111.0,2001,1.42861439,103.794718,3450,2023,5,176.2,109.63636363636364
3,91.0,2005,1.286545996,103.8308245,3250,2023,1,173.6,108.375
4,125.0,1997,1.294642864,103.808264,3250,2021,6,146.4,71.2
3,99.0,1997,1.359389874,103.9366328,2400,2022,12,171.9,97.83333333333333
2,73.0,1984,1.27176738,103.826622,2400,2022,12,171.9,108.375
1,47.0,2018,1.438506059,103.8042506,2750,2022,10,171.9,109.63636363636364
3,105.0,1999,1.403043344,103.7455898,1600,2022,4,163.9,111.125
4,110.0,2001,1.447533901,103.8178923,2100,2021,9,150.6,97.83333333333333
3,84.0,1987,1.417427227,103.8315889,2950,2021,12,155.7,99.1
3,102.0,1984,1.336849222,103.8811415,2500,2021,10,155.7,90.875
3,93.0,2012,1.405079118,103.906706,3800,2023,6,176.2,101.58333333333333
4,116.0,2000,1.392961807,103.8992914,3700,2023,7,178.5,104.75
3,98.0,1985,1.43459992,103.8374095,2200,2022,6,163.9,99.1
2,65.0,1972,1.32723389,103.9222175,2300,2021,3,142.2,96.45454545454545
3,91.0,1980,1.378907914,103.8386027,2300,2021,10,155.7,108.625
4,121.0,1987,1.347017421,103.8499867,2750,2021,9,150.6,52.5
2,67.0,1978,1.311659735,103.7617615,1600,2021,11,155.7,75.25
3,93.0,1985,1.430100193,103.8331176,3700,2023,4,176.2,99.1
3,90.0,1999,1.389344248,103.9030816,2500,2021,3,142.2,104.75
4,120.0,1999,1.432927729,103.7960128,1750,2021,6,146.4,109.63636363636364
2,76.0,1984,1.324889166,103.9202467,2000,2021,6,146.4,96.45454545454545
3,93.0,1985,1.432622676,103.8363187,3150,2022,12,171.9,99.1
4,110.0,2001,1.33607704,103.7050502,2950,2021,1,142.2,91.46153846153847
5,145.0,1992,1.34453677,103.6969862,2200,2023,3,173.6,91.46153846153847
3,91.0,2006,1.334546832,103.8450777,3700,2022,6,163.9,90.875
2,69.0,2012,1.391097836,103.8751662,1200,2021,3,142.2,104.75
1,45.0,1986,1.374694232,103.8364629,2200,2022,6,163.9,108.625
2,59.0,1978,1.331880003,103.9323894,1900,2021,10,155.7,96.45454545454545
2,74.0,1984,1.334414606,103.8686943,2400,2022,12,171.9,90.875
3,85.0,2005,1.32643686,103.9418509,2200,2021,8,150.6,96.45454545454545
2,68.0,1980,1.372941936,103.8528664,3250,2022,12,171.9,108.625
2,64.0,1988,1.370881424,103.8840509,1250,2021,9,150.6,86.11111111111111
2,75.0,1984,1.349808323,103.949578,2150,2021,5,146.4,97.83333333333333
3,92.0,2013,1.32378355,103.7385184,3450,2023,7,178.5,129.5
4,122.0,1986,1.42448626,103.8322514,2850,2021,12,155.7,99.1
3,106.0,1997,1.330480963,103.8865792,2400,2021,3,142.2,82.28571428571429
3,85.0,2002,1.384822072,103.7611819,2200,2021,3,142.2,108.0
2,65.0,1982,1.342052874,103.849396,2000,2022,4,163.9,90.875
2,65.0,1973,1.34227486,103.8480503,2600,2023,5,176.2,90.875
3,104.0,1994,1.394026269,103.7441211,1850,2021,6,146.4,111.125
4,110.0,2006,1.382952332,103.8978626,2200,2021,12,155.7,104.75
2,68.0,1981,1.37043723,103.8475155,2300,2022,1,159.5,108.625
4,115.0,2003,1.441004308,103.8072233,2500,2021,4,146.4,109.63636363636364
3,96.0,1984,1.358741438,103.8722271,4100,2023,7,178.5,69.0
4,117.0,1978,1.314451299,103.7695645,2100,2021,12,155.7,75.25
2,67.0,1970,1.335757237,103.8567896,1600,2021,5,146.4,90.875
3,103.0,1988,1.340149983,103.6891464,4000,2023,7,178.5,91.46153846153847
2,73.0,1984,1.348605623,103.9395641,1700,2021,2,142.2,97.83333333333333
4,117.0,1974,1.323883719,103.8678648,2400,2022,3,159.5,74.33333333333333
4,132.0,1996,1.285057315,103.823812,3800,2022,8,168.1,108.375
2,59.0,1978,1.347251003,103.7100145,2850,2021,12,155.7,91.46153846153847
3,82.0,1982,1.306170975,103.8501065,4200,2022,9,168.1,59.0
3,84.0,1985,1.359984004,103.7498821,3800,2022,9,168.1,97.66666666666667
2,67.0,2015,1.43773146,103.7941358,2500,2021,8,150.6,109.63636363636364
2,82.0,1978,1.3281683,103.9389179,2000,2021,9,150.6,96.45454545454545
4,114.0,2001,1.395816643,103.9009302,2100,2023,4,176.2,104.75
3,93.0,2016,1.417966514,103.8434587,2750,2021,5,146.4,99.1
2,64.0,1987,1.423529489,103.8318719,3350,2023,2,173.6,99.1
2,74.0,1984,1.351409993,103.7236008,1800,2022,3,159.5,91.46153846153847
3,91.0,1976,1.27425274,103.8124291,2200,2021,10,155.7,108.375
2,67.0,1978,1.320416017,103.9427323,1800,2023,6,176.2,96.45454545454545
3,100.0,1999,1.379085441,103.7375424,1900,2021,4,146.4,111.125
2,70.0,2012,1.365266142,103.8445381,1950,2022,1,159.5,108.625
4,124.0,1993,1.337176514,103.8525431,3700,2023,4,176.2,90.875
4,119.0,1978,1.332142808,103.9337202,2200,2023,5,176.2,96.45454545454545
3,106.0,1985,1.351518498,103.8875775,2750,2022,10,171.9,86.11111111111111
2,60.0,2002,1.273901446,103.8394173,2500,2021,3,142.2,108.375
3,90.0,2003,1.321499034,103.7389822,1900,2021,11,155.7,129.5
2,65.0,1976,1.346257972,103.7151547,2300,2021,12,155.7,91.46153846153847
4,127.0,1995,1.388305174,103.7423227,3800,2022,11,171.9,111.125
3,92.0,1977,1.367069338,103.8479025,3450,2022,9,168.1,108.625
3,101.0,1997,1.340499248,103.7201985,3150,2023,6,176.2,91.46153846153847
3,103.0,1983,1.336221986,103.8811033,3700,2023,3,173.6,90.875
2,74.0,1979,1.365384226,103.852967,2600,2023,3,173.6,108.625
3,92.0,2007,1.382579359,103.8972253,2400,2022,6,163.9,104.75
4,123.0,1978,1.320366592,103.9436679,2300,2021,1,142.2,96.45454545454545
2,59.0,1976,1.270379512,103.823236,1900,2021,3,142.2,108.375
4,110.0,2003,1.399774254,103.9068498,3150,2022,10,171.9,101.58333333333333
3,103.0,1984,1.347539192,103.9476754,2400,2021,5,146.4,97.83333333333333
2,73.0,1984,1.350612281,103.9393974,2300,2021,9,150.6,97.83333333333333
3,92.0,1979,1.3640862,103.8566924,2300,2022,2,159.5,108.625
4,121.0,1987,1.347846232,103.8535496,2550,2021,12,155.7,52.5
2,67.0,1985,1.367061427,103.8880773,1600,2022,7,168.1,86.11111111111111
4,122.0,1989,1.343849017,103.6935081,1900,2021,3,142.2,91.46153846153847
4,120.0,1974,1.324084641,103.8685905,2500,2021,8,150.6,74.33333333333333
2,76.0,1976,1.271408833,103.8108875,3350,2022,10,171.9,108.375
4,121.0,2000,1.429077117,103.7922559,2200,2022,1,159.5,109.63636363636364
3,92.0,2003,1.393333571,103.8890002,1900,2022,6,163.9,104.75
4,121.0,1996,1.444929965,103.7922738,3700,2022,12,171.9,109.63636363636364
4,121.0,1999,1.333713828,103.8452331,4700,2023,6,176.2,90.875
2,67.0,1984,1.348733378,103.7531743,1750,2021,1,142.2,97.66666666666667
4,123.0,1986,1.41882572,103.8333764,2100,2021,7,150.6,99.1
2,67.0,1986,1.307147744,103.7596284,1800,2022,3,159.5,75.25
3,88.0,1976,1.307436465,103.7836295,2500,2022,4,163.9,71.2
3,100.0,1998,1.384542267,103.7676839,1900,2021,1,142.2,108.0
3,84.0,1977,1.321478478,103.940721,2850,2022,7,168.1,96.45454545454545
3,97.0,1977,1.37020344,103.8346877,1950,2021,1,142.2,108.625
5,149.0,1992,1.355066862,103.8469461,3250,2022,11,171.9,52.5
3,93.0,1998,1.378937489,103.8838571,3250,2023,2,173.6,86.11111111111111
3,101.0,1999,1.432721939,103.7968464,1600,2021,1,142.2,109.63636363636364
3,104.0,1984,1.355973091,103.8904781,3450,2022,10,171.9,86.11111111111111
5,150.0,1985,1.349232388,103.942181,2850,2021,12,155.7,97.83333333333333
4,116.0,2006,1.280957713,103.8094402,4200,2023,5,176.2,108.375
4,135.0,1992,1.358546004,103.8471273,3150,2023,3,173.6,52.5
4,120.0,1986,1.363346519,103.8348396,2300,2021,3,142.2,52.5
2,82.0,1985,1.351073291,103.9450039,1850,2021,1,142.2,97.83333333333333
3,91.0,2006,1.334546832,103.8450777,4200,2023,1,173.6,90.875
3,103.0,1984,1.349586598,103.7272404,2100,2021,7,150.6,91.46153846153847
3,100.0,2001,1.287016529,103.8163748,2200,2022,4,163.9,108.375
4,115.0,2006,1.281568739,103.8077317,3800,2022,11,171.9,108.375
3,91.0,1980,1.335036457,103.919312,2250,2022,4,163.9,96.45454545454545
2,74.0,1989,1.426549687,103.8472651,1600,2022,2,159.5,99.1
2,60.0,1987,1.352221043,103.7539799,2500,2023,6,176.2,97.66666666666667
2,68.0,1980,1.313448009,103.7654837,3150,2022,6,163.9,75.25
3,114.0,1996,1.38023204,103.9375665,2000,2021,12,155.7,120.85714285714286
4,122.0,1988,1.345754827,103.9572689,2400,2021,7,150.6,97.83333333333333
4,121.0,1986,1.422531712,103.8321855,2250,2021,8,150.6,99.1
4,126.0,1993,1.354098268,103.9582669,2100,2021,11,155.7,97.83333333333333
2,67.0,1983,1.338894938,103.7385551,1900,2021,8,150.6,129.5
2,68.0,1981,1.443151211,103.7751648,1600,2022,3,159.5,109.63636363636364
3,98.0,1985,1.43459992,103.8374095,2000,2021,3,142.2,99.1
2,73.0,1984,1.347716975,103.7428317,2000,2023,2,173.6,97.66666666666667
2,73.0,1989,1.378213713,103.751983,3150,2023,6,176.2,111.125
2,74.0,1978,1.371278651,103.8357666,2700,2022,7,168.1,108.625
3,93.0,2012,1.314896196,103.7644231,3450,2021,5,146.4,75.25
3,84.0,1990,1.438831226,103.7895893,2750,2022,6,163.9,109.63636363636364
3,85.0,1970,1.292096907,103.8042298,3150,2022,10,171.9,71.2
3,84.0,1985,1.354240067,103.8698218,2350,2021,12,155.7,69.0
3,104.0,1993,1.379610964,103.7415379,2100,2021,1,142.2,111.125
3,104.0,1999,1.382156131,103.9007119,2750,2022,12,171.9,104.75
2,67.0,1985,1.434353515,103.8379195,2100,2022,2,159.5,99.1
2,67.0,1979,1.317702812,103.7690767,2950,2022,11,171.9,75.25
4,122.0,1990,1.381930974,103.745583,3450,2023,6,176.2,111.125
3,107.0,1996,1.351880427,103.9631137,4000,2023,3,173.6,97.83333333333333
3,98.0,1984,1.322588548,103.7691762,2950,2023,3,173.6,75.25
5,147.0,1995,1.352628551,103.9586445,2850,2022,6,163.9,97.83333333333333
2,67.0,1983,1.338894938,103.7385551,1350,2021,10,155.7,129.5
4,127.0,1993,1.355427534,103.9514472,4000,2022,12,171.9,97.83333333333333
2,67.0,2014,1.328437977,103.7237959,3050,2022,1,159.5,91.46153846153847
2,65.0,1972,1.330672097,103.8419179,2200,2021,12,155.7,90.875
3,92.0,2006,1.326686013,103.941272,2400,2021,8,150.6,96.45454545454545
3,94.0,2010,1.324999166,103.9342344,2850,2021,12,155.7,96.45454545454545
2,57.0,1971,1.32742995,103.8856816,1950,2022,1,159.5,82.28571428571429
3,98.0,1977,1.368358588,103.8477458,2700,2021,11,155.7,108.625
2,67.0,1985,1.431001762,103.8324685,1800,2023,2,173.6,99.1
4,110.0,2001,1.430140406,103.7958352,2200,2023,6,176.2,109.63636363636364
2,64.0,1985,1.354448911,103.8742621,2150,2021,1,142.2,69.0
2,68.0,1980,1.379394703,103.8391572,2600,2022,9,168.1,108.625
4,136.0,1995,1.431868736,103.8412423,2200,2022,2,159.5,99.1
4,124.0,1997,1.356984393,103.9358874,2300,2022,4,163.9,97.83333333333333
4,110.0,2003,1.403685808,103.7515813,1900,2021,2,142.2,111.125
3,104.0,1992,1.377171374,103.895401,2100,2021,4,146.4,86.11111111111111
3,91.0,1981,1.333657543,103.9168047,1950,2021,4,146.4,96.45454545454545
3,93.0,2007,1.401369675,103.9131916,1900,2021,6,146.4,101.58333333333333
2,82.0,1978,1.314562106,103.7625302,1950,2021,2,142.2,75.25
3,106.0,1995,1.443020036,103.7879158,2350,2022,8,168.1,109.63636363636364
3,88.0,1987,1.358365079,103.954081,3700,2023,5,176.2,97.83333333333333
3,90.0,2002,1.274426047,103.8396715,4200,2023,5,176.2,108.375
3,95.0,2000,1.395221627,103.9048086,1900,2021,6,146.4,104.75
5,145.0,1993,1.370264184,103.9624097,2500,2022,3,159.5,120.85714285714286
2,67.0,1979,1.319663167,103.7691398,1900,2021,12,155.7,75.25
2,60.0,1970,1.290911282,103.8031208,2100,2023,7,178.5,71.2
4,119.0,1979,1.331059973,103.9300414,2350,2021,4,146.4,96.45454545454545
3,84.0,1977,1.321906636,103.9398472,1900,2022,1,159.5,96.45454545454545
5,130.0,2001,1.342204167,103.6994476,3800,2022,3,159.5,91.46153846153847
4,118.0,2005,1.364850176,103.7521618,2500,2021,1,142.2,97.66666666666667
2,68.0,1979,1.294801401,103.8544675,2500,2021,9,150.6,74.33333333333333
4,121.0,1999,1.38592297,103.7646135,3700,2023,7,178.5,108.0
2,67.0,1979,1.36830997,103.8536003,2800,2023,2,173.6,108.625
5,126.0,2002,1.352865553,103.7032805,2350,2021,7,150.6,91.46153846153847
3,100.0,1997,1.444867758,103.8011737,2600,2021,10,155.7,109.63636363636364
2,65.0,1981,1.317823747,103.8800776,1800,2022,5,163.9,82.28571428571429
3,84.0,1985,1.4247024,103.8339498,3900,2023,7,178.5,99.1
3,100.0,2001,1.286529621,103.8331631,3150,2021,6,146.4,108.375
4,132.0,1996,1.345371505,103.6918696,1900,2021,4,146.4,91.46153846153847
3,87.0,2016,1.286336847,103.8292048,3800,2022,12,171.9,108.375
4,121.0,1979,1.318363214,103.7698465,3150,2021,4,146.4,75.25
2,67.0,1978,1.312511993,103.7632688,4100,2023,7,178.5,75.25
4,123.0,1999,1.314481097,103.870458,3100,2021,3,142.2,74.33333333333333
3,91.0,2002,1.34439825,103.7016635,2300,2021,7,150.6,91.46153846153847
2,68.0,1980,1.366947935,103.8574876,2950,2023,2,173.6,108.625
3,93.0,2018,1.277283677,103.8069162,4700,2023,7,178.5,108.375
4,110.0,2008,1.345630476,103.705038,3900,2022,6,163.9,91.46153846153847
2,64.0,1986,1.416498758,103.8315784,1800,2022,1,159.5,99.1
5,146.0,2000,1.433716,103.7933262,2600,2022,8,168.1,109.63636363636364
3,100.0,1997,1.356172537,103.9374799,1900,2021,1,142.2,97.83333333333333
2,73.0,1977,1.365141269,103.8487042,2850,2022,1,159.5,108.625
2,58.0,1969,1.28789877,103.8282036,2600,2023,3,173.6,108.375
3,89.0,1987,1.376647194,103.8867716,3350,2023,4,176.2,86.11111111111111
4,124.0,1999,1.402000843,103.7466849,2200,2023,6,176.2,111.125
2,82.0,1981,1.332249812,103.9158687,1700,2023,6,176.2,96.45454545454545
4,124.0,2000,1.434174103,103.7923973,1900,2021,10,155.7,109.63636363636364
4,111.0,2011,1.34285869,103.9582587,4000,2022,11,171.9,97.83333333333333
3,95.0,2000,1.294382132,103.8055602,3200,2022,3,159.5,71.2
2,74.0,1984,1.334414606,103.8686943,2200,2021,6,146.4,90.875
4,122.0,1986,1.287613427,103.8122721,2500,2021,7,150.6,108.375
2,67.0,1970,1.338331334,103.8457371,1050,2023,3,173.6,90.875
3,100.0,2001,1.287016529,103.8163748,2600,2022,12,171.9,108.375
2,65.0,1975,1.277909847,103.8225358,2100,2021,9,150.6,108.375
2,64.0,1988,1.348362498,103.8508971,1950,2021,3,142.2,52.5
3,103.0,1984,1.33714404,103.9284338,2100,2021,11,155.7,96.45454545454545
3,98.0,1984,1.346104993,103.7408255,2000,2021,7,150.6,97.66666666666667
4,110.0,2002,1.336642207,103.6979897,2100,2021,3,142.2,91.46153846153847
2,67.0,1979,1.363466006,103.8567029,2300,2023,7,178.5,108.625
3,103.0,1999,1.40297793,103.747753,2100,2021,4,146.4,111.125
3,92.0,2003,1.391839031,103.8879959,2600,2022,8,168.1,104.75
5,130.0,2001,1.388079615,103.8901531,3800,2022,12,171.9,104.75
4,128.0,1993,1.374149019,103.9435397,2100,2021,11,155.7,120.85714285714286
2,67.0,1980,1.304844235,103.7611071,1900,2022,1,159.5,75.25
2,60.0,1980,1.284193538,103.8459859,2750,2022,8,168.1,59.0
3,91.0,1980,1.38070883,103.8353682,2200,2022,2,159.5,108.625
2,67.0,1978,1.370096538,103.8376878,2250,2021,12,155.7,108.625
3,90.0,2001,1.389001211,103.8927633,2300,2021,7,150.6,104.75
4,113.0,2003,1.396245169,103.9070873,1750,2021,8,150.6,101.58333333333333
2,65.0,1976,1.303405476,103.9097344,1800,2021,8,150.6,77.33333333333333
5,150.0,1985,1.348008342,103.9428138,2500,2022,5,163.9,97.83333333333333
4,110.0,2001,1.336850142,103.7023136,2850,2022,11,171.9,91.46153846153847
2,67.0,1977,1.368346068,103.837196,1850,2021,2,142.2,108.625
4,110.0,2008,1.335743987,103.6957769,2100,2022,8,168.1,91.46153846153847
3,93.0,2010,1.385751978,103.894255,2600,2022,10,171.9,104.75
5,149.0,1993,1.370238552,103.9628942,3900,2023,5,176.2,120.85714285714286
5,149.0,1995,1.375487344,103.9427274,2400,2021,12,155.7,120.85714285714286
3,98.0,1978,1.372076655,103.8419477,1250,2021,9,150.6,108.625
1,47.0,2018,1.438099633,103.8044299,2550,2022,12,171.9,109.63636363636364
4,122.0,1999,1.390762155,103.9051958,2600,2022,2,159.5,104.75
2,70.0,2017,1.312344472,103.8698983,2950,2022,9,168.1,74.33333333333333
3,103.0,1987,1.332959934,103.9099048,2100,2021,3,142.2,96.45454545454545
2,59.0,1974,1.3061849,103.7968812,2950,2023,4,176.2,71.2
3,98.0,1978,1.366599083,103.8468744,4200,2023,5,176.2,108.625
3,105.0,1992,1.374493768,103.9589583,2400,2021,4,146.4,120.85714285714286
2,74.0,1984,1.333276489,103.8661102,3350,2023,6,176.2,90.875
2,67.0,1971,1.335787912,103.847992,3050,2023,3,173.6,90.875
4,112.0,2004,1.399512505,103.9097527,2000,2022,7,168.1,101.58333333333333
2,67.0,2014,1.328460311,103.7232878,3100,2023,4,176.2,91.46153846153847
3,93.0,2012,1.403480538,103.9071174,4000,2023,3,173.6,101.58333333333333
4,110.0,2003,1.398470596,103.9077693,3800,2023,7,178.5,101.58333333333333
3,104.0,1988,1.347526498,103.935184,3250,2023,3,173.6,97.83333333333333
2,70.0,1984,1.370244621,103.870823,2200,2021,3,142.2,69.0
3,103.0,1984,1.350009516,103.7464996,1700,2022,3,159.5,97.66666666666667
2,74.0,1989,1.429247793,103.8451922,3150,2023,3,173.6,99.1
3,102.0,1998,1.344210302,103.7592055,1800,2022,3,159.5,97.66666666666667
4,121.0,1985,1.349620134,103.7564321,2300,2022,1,159.5,97.66666666666667
5,146.0,1986,1.426474819,103.8299159,2550,2021,12,155.7,99.1
2,65.0,1976,1.346257972,103.7151547,1450,2022,1,159.5,91.46153846153847
4,110.0,2006,1.313614227,103.8716044,4500,2022,12,171.9,74.33333333333333
2,65.0,1977,1.310103026,103.788546,2750,2022,3,159.5,71.2
5,147.0,1999,1.433452957,103.788654,4200,2023,7,178.5,109.63636363636364
2,67.0,1979,1.365692415,103.8550979,1900,2021,5,146.4,108.625
3,105.0,1988,1.416451295,103.8367411,2750,2022,6,163.9,99.1
2,68.0,2016,1.395952911,103.8815041,2600,2022,4,163.9,104.75
2,73.0,1988,1.376166612,103.7722071,1700,2021,4,146.4,108.0
2,67.0,1985,1.327978774,103.9258048,2200,2022,2,159.5,96.45454545454545
3,91.0,2007,1.400843273,103.9131347,3700,2023,5,176.2,101.58333333333333
2,60.0,1986,1.299009418,103.8522849,3300,2023,3,173.6,59.0
5,146.0,1997,1.349230323,103.6961006,2300,2021,1,142.2,91.46153846153847
4,121.0,1998,1.340708117,103.7447023,3450,2021,11,155.7,129.5
4,120.0,2001,1.289075068,103.8153184,3400,2021,7,150.6,108.375
3,103.0,1987,1.332795452,103.9118132,2150,2021,7,150.6,96.45454545454545
3,84.0,1988,1.428849419,103.847221,2000,2022,7,168.1,99.1
4,122.0,1999,1.3886426,103.9036355,2750,2022,3,159.5,104.75
4,123.0,1999,1.339626011,103.7444688,3050,2023,5,176.2,129.5
2,73.0,1989,1.342952328,103.6890288,1650,2021,1,142.2,91.46153846153847
4,110.0,2001,1.389397564,103.8880427,2000,2021,5,146.4,104.75
2,67.0,1985,1.430100193,103.8331176,2000,2021,1,142.2,99.1
3,85.0,2003,1.308820696,103.8520653,3150,2022,3,159.5,59.0
4,123.0,1993,1.379308978,103.7453652,2850,2022,2,159.5,111.125
3,90.0,2003,1.393655085,103.8909152,2400,2021,2,142.2,104.75
4,122.0,1988,1.417822583,103.8398545,2300,2021,3,142.2,99.1
4,105.0,2004,1.327607041,103.8598605,2500,2021,4,146.4,74.33333333333333
3,90.0,2001,1.393141091,103.8955694,1600,2023,2,173.6,104.75
2,68.0,1980,1.382198677,103.8412115,1700,2022,7,168.1,108.625
3,84.0,1988,1.335576195,103.9115458,2950,2022,6,163.9,96.45454545454545
3,92.0,1979,1.304235925,103.7678534,2200,2022,4,163.9,75.25
3,93.0,2017,1.407897787,103.8973708,4050,2023,6,176.2,101.58333333333333
2,75.0,1983,1.352905289,103.9525392,3250,2023,7,178.5,97.83333333333333
4,110.0,2001,1.394240375,103.8949716,2250,2021,3,142.2,104.75
3,99.0,1984,1.341072012,103.7360897,2300,2021,2,142.2,129.5
5,146.0,1992,1.356604529,103.8836506,3050,2022,7,168.1,86.11111111111111
5,150.0,1993,1.371108705,103.962454,2400,2021,2,142.2,120.85714285714286
4,113.0,2001,1.450860772,103.8199728,2600,2022,1,159.5,97.83333333333333
